# Star catalog based on Yale Bright Star Catalog v5 (http://tdc-www.harvard.edu/catalogs/bsc5.html)
# ;SAO;_RAJ2000;_DEJ2000;Vmag
4761;63072;188.4475;33.38472222222222;6.24
4762;44230;188.43541666666667;41.3575;4.26
4763;180915;188.59666666666664;-23.396666666666665;2.65
4764;7593;188.37083333333334;69.78833333333333;3.87
4765;223527;188.67624999999995;-44.67333333333333;5.77
4766;82390;188.71291666666664;22.629166666666666;4.81
4767;251962;188.87083333333334;-61.841944444444444;6.22
4768;100159;188.77624999999998;18.377222222222223;6.56
4769;100160;188.7825;18.376944444444444;5.02
4770;82394;188.78375;21.88138888888889;5.85
4771;223542;188.9395833333333;-41.02194444444444;5.13
4772;7600;188.6833333333333;70.02194444444444;4.94
4773;203621;189.00499999999997;-39.87;5.80
4774;180937;188.99416666666664;-20.52722222222222;6.20
4775;251974;189.29583333333332;-69.13555555555556;2.69
4776;138873;189.19749999999996;-5.831944444444444;5.87
4777;28444;189.0970833333333;59.48694444444445;5.5
4778;100176;189.24291666666664;17.089444444444442;5.68
4779;223560;189.42583333333332;-48.54111111111111;3.86
4780;180965;189.42583333333332;-27.13888888888889;5.45
4781;256967;189.81041666666664;-75.36944444444444;6.49
4782;119503;189.5183333333333;3.2824999999999998;6.33
4783;251980;189.71874999999997;-67.19305555555556;6.25
4784;119508;189.5933333333333;1.8547222222222224;5.71
4785;119509;189.62499999999997;6.988333333333333;7.08
4786;157415;189.6858333333333;-18.25027777777778;6.00
4787;203666;189.76458333333332;-30.422222222222224;5.89
4788;44265;189.69291666666663;40.87444444444444;6.37
4789;82420;189.75875;22.659444444444443;6.38
4790;138892;189.81166666666667;-7.995555555555556;4.66
4791;251987;189.98166666666665;-66.51166666666667;6.26
4792;82421;189.78041666666667;21.0625;5.46
4793;63118;189.82041666666666;35.95194444444445;6.45
4794;203681;189.96874999999997;-39.987500000000004;4.64
4795;223601;190.3458333333333;-46.14555555555555;5.84
4796;223603;190.37916666666666;-48.959722222222226;2.17
4797;251996;190.52124999999998;-69.4075;6.33
4798;157447;190.31666666666666;-13.01361111111111;6.08
4799;157448;190.3175;-13.015;5.98
4800;240161;190.48583333333332;-59.68583333333333;4.93
4801;100207;190.39333333333332;10.426388888888889;6.19
4804;157451;190.45499999999998;-19.75861111111111;6.03
4805;100211;190.47124999999997;10.235555555555555;4.88
4806;119538;190.48791666666665;6.806666666666667;5.59
4807;252002;190.70958333333328;-63.058611111111105;5.31
4808;223614;190.64749999999995;-48.81305555555555;4.66
4809;240176;190.70666666666662;-55.947222222222216;6.08
4810;15871;190.39124999999999;62.713055555555556;6.07
4811;240179;190.78791666666663;-56.17611111111111;6.00
4812;240183;190.86749999999998;-58.903055555555554;6.40
4813;203746;190.85958333333332;-40.17777777777778;6.44
4814;138933;190.90874999999997;-1.5769444444444445;5.93
4815;203756;190.9945833333333;-36.34916666666667;6.39
4816;181063;191.0020833333333;-28.323888888888888;5.48
4817;15877;190.76749999999998;61.15555555555555;6.38
4818;252012;191.25708333333333;-68.83111111111111;6.16
4819;252016;191.40791666666664;-60.98111111111111;4.69
4820;44307;191.11291666666662;44.10305555555556;6.33
4821;252019;191.57041666666666;-68.10805555555555;3.05
4822;63177;191.24791666666664;39.278888888888886;5.95
4823;44317;191.2825;45.44027777777777;4.99
4824;119574;191.4045833333333;7.673333333333334;5.22
4825;240235;191.5945833333333;-56.48888888888889;4.65
4826;119580;191.59374999999997;9.54;5.67
4827;203797;191.69166666666666;-33.315555555555555;5.86
4828;100252;191.66125;16.5775;5.12
4829;2080;191.1083333333333;80.6211111111111;6.40
4830;240259;191.92999999999998;-59.68861111111111;1.25
4831;119585;191.7595833333333;5.950833333333334;6.34
4832;100260;191.80666666666664;11.958055555555555;6.07
4833;138967;191.88916666666663;-6.301944444444445;6.26
4834;181105;191.97374999999997;-24.851666666666667;6.44
4835;119596;191.96416666666664;3.5727777777777776;6.41
4836;15901;191.82874999999999;62.780833333333334;5.89
4837;181114;192.10999999999999;-27.5975;5.66
4838;100269;192.0595833333333;13.553055555555556;6.56
4839;256983;192.4370833333333;-71.9863888888889;5.55
4840;15902;191.89333333333332;66.79027777777777;5.43
4841;82511;192.19583333333333;24.840277777777775;6.31
4842;100283;192.22583333333333;14.1225;5.70
4843;44332;192.17416666666665;48.466944444444444;6.27
4844;15907;192.16416666666666;60.32;5.85
4845;252047;192.54999999999998;-60.40083333333333;6.75
4846;82515;192.3225;27.552222222222223;5.78
4847;258654;193.74416666666664;-85.12333333333332;5.46
4848;223698;192.58166666666665;-48.459722222222226;6.24
4849;240314;192.74124999999998;-52.7875;5.73
4850;82523;192.5725;22.863333333333333;6.43
4851;203863;192.67166666666665;-33.99944444444444;4.91
4852;63217;192.54458333333332;37.51694444444444;5.89
4853;252054;192.82416666666663;-60.32972222222222;5.72
4854;157550;192.84541666666664;-10.338333333333335;6.41
4855;119633;192.90374999999997;3.0566666666666666;6.02
4856;203881;192.98666666666665;-39.68083333333333;5.98
4857;223720;193.0220833333333;-48.094166666666666;6.33
4858;181169;192.99124999999995;-26.738055555555558;6.15
4859;240338;193.10249999999996;-53.82944444444445;6.24
4860;82537;192.92458333333332;27.540555555555557;4.94
4861;100309;193.05124999999998;17.073888888888888;6.32
4862;240347;193.26624999999999;-54.9525;5.93
4863;100312;193.11499999999998;16.1225;6.30
4864;252069;193.3408333333333;-60.328611111111115;5.76
4865;223731;193.27874999999997;-48.94333333333333;4.33
4866;203907;193.35916666666665;-40.178888888888885;4.27
4867;252077;193.4545833333333;-60.37694444444445;5.90
4868;139022;193.29666666666665;-3.5530555555555554;6.11
4869;2101;192.27749999999997;83.41805555555555;5.85
4870;2102;192.30666666666664;83.41277777777778;5.28
4871;82550;193.32416666666663;21.245;4.90
4872;240362;193.59166666666664;-58.43055555555555;6.58
4873;139027;193.40874999999997;-4.223888888888889;6.44
4874;240368;193.66333333333333;-59.14666666666667;4.62
4875;240366;193.64833333333334;-57.17777777777778;4.03
4876;240367;193.6533333333333;-57.16833333333333;5.17
4877;100322;193.4570833333333;12.41861111111111;6.25
4878;157584;193.57791666666665;-11.64861111111111;6.00
4879;139033;193.5883333333333;-9.53888888888889;4.79
4880;223753;193.74374999999998;-44.151944444444446;5.89
4881;63244;193.5545833333333;33.53444444444444;6.26
4882;28553;193.50708333333333;55.959722222222226;1.77
4883;223760;193.83083333333332;-42.91583333333333;5.47
4884;256992;194.13124999999997;-72.18527777777778;5.93
4885;240385;193.98749999999995;-56.836111111111116;5.32
4886;44383;193.73541666666665;47.196666666666665;5.84
4887;119674;193.90083333333328;3.3975;3.38
4888;157599;193.9720833333333;-15.326944444444445;6.17
4890;240407;194.2683333333333;-51.198611111111106;5.16
4891;63256;194.00166666666667;38.31472222222222;5.60
4892;63257;194.00708333333333;38.318333333333335;2.90
4893;15941;193.86874999999998;65.43861111111111;5.24
4894;28572;194.07333333333332;54.099444444444444;5.82
4895;181265;194.3883333333333;-22.753888888888888;6.31
4896;44398;194.2820833333333;46.176944444444445;6.12
4897;100357;194.73083333333332;17.409444444444443;4.78
4898;139086;194.9145833333333;-3.8119444444444444;5.79
4899;204029;195.1358333333333;-33.50527777777778;6.02
4900;257000;195.56749999999997;-71.54888888888888;3.62
4901;63288;195.06874999999997;30.785;4.90
4902;139096;195.1495833333333;-3.368611111111111;5.99
4903;100366;195.16166666666663;18.373055555555556;6.20
4904;7714;194.69708333333332;75.4725;6.01
4905;15960;194.9795833333333;66.59722222222221;5.32
4906;100374;195.29;17.123055555555556;5.96
4907;257003;195.77166666666668;-71.47611111111111;6.03
4908;28601;195.18249999999998;56.36638888888889;4.93
4909;100384;195.54416666666665;10.959166666666667;2.83
4910;223870;195.88833333333332;-49.52722222222222;4.85
4911;15962;195.445;63.61027777777778;6.00
4912;181357;195.94208333333333;-20.583055555555557;5.58
4913;28613;195.66833333333332;59.71611111111111;6.53
4914;139131;195.97666666666666;-3.663333333333333;6.59
4915;223881;196.20041666666663;-41.196666666666665;6.26
4916;240535;196.3783333333333;-52.115;6.43
4917;223900;196.56958333333333;-48.46361111111111;4.71
4918;223905;196.64624999999998;-41.58861111111111;5.59
4919;223909;196.7275;-49.90611111111111;4.27
4920;63338;196.43541666666667;35.79888888888889;5.25
4921;240566;196.85083333333333;-59.86055555555556;5.99
4922;44465;196.46791666666664;45.26861111111111;5.63
4923;82650;196.5883333333333;21.153333333333332;5.99
4925;82648;196.54249999999996;29.029444444444444;6.54
4926;82651;196.59416666666664;22.616111111111113;5.60
4927;7741;196.2070833333333;73.02527777777777;6.31
4928;240573;196.90958333333333;-53.459722222222226;5.71
4929;252162;197.02916666666664;-65.30638888888889;5.51
4930;15985;196.5945833333333;62.04194444444444;6.14
4931;82659;196.79458333333332;27.62472222222222;4.80
4932;157739;196.97416666666663;-10.740277777777777;5.19
4933;82665;196.9733333333333;27.555833333333332;6.19
4934;139175;197.13541666666663;-8.984444444444444;5.55
4935;181410;197.26375;-23.118055555555557;4.95
4936;139183;197.30999999999997;-9.538333333333334;6.32
4937;100436;197.30166666666665;10.022222222222224;5.78
4938;157760;197.43875;-10.329444444444444;5.94
4939;100439;197.44916666666666;16.84861111111111;5.91
4940;139189;197.48749999999998;-5.538888888888889;4.38
4941;63372;197.41124999999997;37.42305555555555;6.02
4942;240627;197.74333333333328;-52.566944444444445;6.06
4943;252185;197.96499999999997;-69.94194444444445;5.91
4944;63374;197.42499999999998;38.53388888888889;6.28
4947;223960;197.78666666666663;-42.23305555555556;5.79
4948;63380;197.51333333333332;38.49888888888889;5.91
4949;252187;197.97124999999997;-63.30277777777778;6.33
4950;223966;197.84666666666664;-43.36888888888889;5.25
4951;15999;197.45916666666665;62.22916666666667;6.54
4952;240645;198.07249999999996;-59.920833333333334;4.60
4953;257019;198.57166666666663;-78.44722222222222;5.85
4954;252196;198.20374999999996;-66.22694444444444;5.90
4955;181446;197.91333333333333;-26.551666666666666;6.50
4956;204227;198.0133333333333;-37.80305555555555;4.85
4957;240653;198.23333333333332;-59.81666666666667;6.16
4958;157788;198.0145833333333;-16.198611111111113;5.04
4959;223980;198.21208333333328;-42.69972222222222;6.22
4960;82706;197.9683333333333;27.878055555555555;4.26
4961;82708;198.03499999999997;24.258055555555554;6.33
4962;240655;198.34791666666666;-50.7;5.89
4963;100460;198.13708333333332;11.556111111111111;5.77
4964;100461;198.1495833333333;18.751666666666665;6.53
4965;240663;198.55041666666662;-58.68388888888889;5.89
4966;240666;198.56166666666664;-59.10333333333333;4.92
4967;157798;198.36166666666665;-18.826666666666668;6.28
4968;223989;198.48958333333331;-43.138888888888886;6.16
4969;100467;198.30166666666665;18.72694444444444;6.11
4970;252224;198.8120833333333;-67.89444444444445;4.80
4971;252225;198.85708333333332;-69.67972222222222;6.37
4972;157806;198.54541666666663;-19.930833333333336;5.33
4973;224000;198.6795833333333;-48.95666666666667;5.89
4974;44519;198.42916666666665;40.15277777777778;4.92
4975;100473;198.63041666666663;11.331666666666667;5.67
4976;204282;198.79041666666663;-36.37111111111111;6.19
4977;252236;199.18666666666664;-65.13833333333334;6.07
4978;157823;198.99499999999998;-19.943055555555556;5.22
4979;252240;199.30416666666665;-66.78361111111111;4.87
4980;7782;198.3833333333333;72.79888888888888;6.59
4981;44531;198.8833333333333;40.85527777777778;5.79
4982;139254;199.10625;-1.3905555555555555;6.68
4983;204312;199.22124999999997;-31.50611111111111;5.10
4984;100484;199.0595833333333;19.051666666666666;6.45
4985;224032;199.30791666666664;-43.97944444444445;5.84
4986;2164;198.1058333333333;80.4713888888889;6.25
4987;82751;199.13458333333332;19.78527777777778;6.45
4988;119847;199.19375;9.424166666666666;5.22
4989;257028;199.82874999999999;-72.03555555555555;6.04
4990;100497;199.31499999999997;13.675555555555555;5.33
4991;139264;199.3745833333333;0.6766666666666666;6.37
4992;119855;199.40124999999998;5.469722222222222;4.80
4993;240721;199.64416666666665;-51.28611111111111;6.19
4994;44549;199.38541666666663;40.572500000000005;4.73
4995;16033;199.11916666666664;68.40805555555556;6.20
4996;157844;199.60125;-18.31138888888889;4.74
4997;181543;199.73041666666666;-23.171666666666667;3.00
4998;119867;199.71291666666664;3.687777777777778;6.62
4999;63462;199.6158333333333;34.09805555555556;5.82
5000;44556;199.56041666666664;49.68194444444444;5.15
5001;240756;200.14541666666665;-59.77333333333333;6.18
5002;63468;199.76749999999996;35.128055555555555;6.02
5003;240762;200.1575;-52.74805555555556;5.48
5004;240765;200.20125;-55.800555555555555;6.02
5005;204371;200.14916666666664;-36.71222222222222;2.75
5006;224080;200.24041666666665;-46.88055555555555;5.77
